Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,130502793.3,184748603.4,-36983240.22,-17932960.89,-73184357.54,-5530726.257,85027932.96,197821229.1,113463687.2,467541899.4,-127932960.9,-266927374.3,332513966.5,159776536.3,-105698324,-207798005.9,220316139.7,-471005586.6,18882681.56,-10614525.14,186759776.5,488156424.6,-314692737.4,226371388.8,250618095,-28775856.42,27551267.63,162463551.5,135921173.4
Africa Eastern and Southern,88673056.81,1241968646,652324976.3,839509681.8,1187864680,2662958896,2087426790,5757027923,4121573935,6254803631,4315007316,12205013827,6464121933,8555149192,7979691821,10333884247,7234542920,16122295357,22483229907,18484266804,13934880233,17538697879,24636336184,21534243340,27681416018,28774225014,16842050894,9955492706,14449631530
Afghanistan,10,-280000,360000,-20000,20000,-93326.6,690000,-1460000,-10000,6040000,170000,680000,50000000,57799999.9,186900000,271000000,238000000,188690000,46033740,56107246.5,190774432,52173421,56823660,48311346,42975262.5,169146608,93591315.3,51533896.77,119435105.7
Africa Western and Central,1073307824,837652709.3,1214631404,1757936796,2389930551,945428066.2,1182474450,1622432325,1897977339,2391072130,2560188712,3224274419,4407637344,5261510987,4653437667,9277747004,9200902070,13028503360,16308512123,18152376750,18872476735,24500018445,20912706088,19156931891,16593990871,15641341152,13936765398,17661035768,15501756263
Angola,-334800000,664500000,287956000,302100000,170300000,472427000,180559000,411660000,1113970000,2471460000,878620000,2145470000,1743504000,3576971780,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182,-3023770966,-1464627991,-7120017424,3657514667,10028215163,-179517618.9,-7397295409,-6456076413
Albania,0,0,20000000,58000000,53000000,70000000,90100000,47500000,45010000,41200000,143000000,207300000,135000000,178036400.7,341285112.5,262479012.6,325138316.8,652275603.7,1247181714,1345415234,1089898208,1048706682,917994575.8,1254150556,1149927986,989578334.8,1044389555,1022757857,1204383364
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,3053835682,2123621591,3477597029,4331542878,4909888144,299885485.9,3662695409,8973444817,9641399374,2881569839,3840491004,8899597182,6159576371,14595559434,21373075474,46048851175,69481323910,81836608641,88751312330,76654497098,70001315697,44868032640,50079903886,41259115295,31042743760,25507493631,32582348458,30063429264,33766670547
United Arab Emirates,-115819999.9,25940000,129720000,401319999.9,62460000,399850000,300519999.9,232430000,257660000,-985340000,-506329999.9,1183840000,95299999.9,4255956433,10003500000,10899931930,12805990470,14186521440,5062972005,1134288135,8796769641,7152095826,9566651351,9764914527,11071537020,8550901847,9604773000,10354223000,10385286000
Argentina,1836000000,2439000000,4430977523,2793085410,3634931878,5609423404,6948536687,9160272052,7290657132,23987696390,10418314339,2166136830,2148910000,1652010000,4124710000,5265250000,5537347786,6473157762,9725553130,4017158925,11332718626,10839930945,15323933917,9821661858,5065335542,11758994011,3260164342,11516861462,11716769819
Armenia,,,2399999.9,800000,8000000,25320000,17570000,51940000,232375000,122034000,104188500,69868500,110725325.6,122852992.7,247140608.5,292073220.2,466531991.9,667671562.1,943733059.5,760040745.9,529321391.6,653219756.5,496636701.1,346092394.4,406578406.7,184127986.3,333733314.1,250935110.2,266824955.5
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
